6,,麻油系列,Sesame Oils,
6-1,001A,富貴純麻油,100% Pure Sesame Oil,5 gl. tin_Box of 12 x 10 oz. bottles_Box of 24 x 6 oz. bottles
6-2,001B,中國香麻油,Chinese Sesame Oil,Box of 4 x 1 gl. bottles_Box of 6 x 1/2 gl. bottle_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
6-3,001C,吉祥香麻油,Jaisun Sesame Oil,Box of 4 x 1 gl. bottles_Box of 6 x 1/2 gl. bottle_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
6-4,001D,美味香麻油,Meiwei Sesame Oil,Box of 4 x 1 gl. bottles_Box of 6 x 1/2 gl. bottle_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
6-5,001E1,一品香麻油,Sesame Oil,Box of 4 x 1 gl. bottles
6-6,001F,黑麻油,100% Black Sesame Oil,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 6 oz. bottles
7,,辣油系列,Spicy Oils,
7-1,007A,香辣油,Chili Oil,Box of 4 x 1 gl. bottles_Box of 12 x 10 oz. bottles_Box of 24 x 8 oz. bottles
7-2,007H6,辣麻油,Hot Sesame Oil,Box of 12 x 6 oz. bottles
8,,岡山系列,Gong San (Taiwan Style),
8-1,004A,岡山辣椒醬,Gong San Chili Sauce®,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
8-2,005A,岡山辣豆瓣醬,Gong San Hot Bean Sauce®,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
8-3,006A,岡山豆瓣醬,Gong San Bean Sauce®,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9,,川味系列,Szechuan Style,
9-1,005E,辣蠶豆瓣醬,Hot Broad Bean Sauce,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9-2,006E33,蠶豆瓣醬,Fermented Broad Bean Paste,Box of 33 kg. bag
9-3,006D,甜麵醬,Sweet Flour Sauce,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
9-4,003A,純芝麻醬,Sesame Paste,Box of 4 x 1 gl. bottles_Box of 12 x 16 oz. bottles_Box of 24 x 8 oz. bottles
